input_text,target_text
generate coping tip: emotion=stress | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=sharing_update,You showed up today. That’s enough.
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=sharing_update,Today was okay—and that’s great.
generate coping tip: emotion=stress | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=reflecting,Awareness is step one. Now breathe and prioritize.
generate coping tip: emotion=stress | intent=reflecting,Reflection is productive—don’t forget to rest too.
generate coping tip: emotion=stress | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=asking_question,Find trusted info sources and take breaks between reading.
generate coping tip: emotion=depression | intent=asking_question,"Be curious, but treat yourself kindly."
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=reflecting,Neutral is a good time to build habits.
generate coping tip: emotion=anxiety | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=venting,You’re allowed to feel this. Try writing or drawing it out.
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=venting,You’re allowed to feel this. Try writing or drawing it out.
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=sharing_update,Noticing a calm day is progress. Keep going.
generate coping tip: emotion=anxiety | intent=asking_question,Answer one thing at a time.
generate coping tip: emotion=anxiety | intent=asking_question,Pause when overwhelmed. Learn at your pace.
generate coping tip: emotion=depression | intent=sharing_update,"Even on neutral days, your healing is happening."
generate coping tip: emotion=depression | intent=seeking_support,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=asking_question,Pause when overwhelmed. Learn at your pace.
generate coping tip: emotion=depression | intent=seeking_support,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=sharing_update,Even slow days are meaningful. Well done.
generate coping tip: emotion=stress | intent=seeking_support,Share your stress—collaboration relieves pressure.
generate coping tip: emotion=neutral | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=asking_question,Answer one thing at a time.
generate coping tip: emotion=anxiety | intent=seeking_support,Don’t hesitate to ask for reassurance—you deserve it.
generate coping tip: emotion=stress | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=seeking_support,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=seeking_support,Talk to someone you trust and share your thoughts.
generate coping tip: emotion=anxiety | intent=seeking_support,Don’t hesitate to ask for reassurance—you deserve it.
generate coping tip: emotion=anxiety | intent=seeking_support,Reach out and let someone know how you’re feeling.
generate coping tip: emotion=depression | intent=asking_question,"Seek information, but pace yourself gently."
generate coping tip: emotion=neutral | intent=seeking_support,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=asking_question,Answer one thing at a time.
generate coping tip: emotion=depression | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=reflecting,Awareness is step one. Now breathe and prioritize.
generate coping tip: emotion=neutral | intent=seeking_support,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=asking_question,"Be curious, but treat yourself kindly."
generate coping tip: emotion=anxiety | intent=seeking_support,Talk to someone you trust and share your thoughts.
generate coping tip: emotion=depression | intent=sharing_update,You showed up today. That’s enough.
generate coping tip: emotion=stress | intent=seeking_support,Seek guidance or validation. You're not alone.
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=sharing_update,You showed up today. That’s enough.
generate coping tip: emotion=stress | intent=reflecting,Awareness is step one. Now breathe and prioritize.
generate coping tip: emotion=anxiety | intent=seeking_support,Talk to someone you trust and share your thoughts.
generate coping tip: emotion=stress | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=asking_question,"Be curious, but treat yourself kindly."
generate coping tip: emotion=stress | intent=seeking_support,Ask someone to help you lighten the load.
generate coping tip: emotion=stress | intent=reflecting,"Identify what’s overwhelming you, then break it down."
generate coping tip: emotion=stress | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=seeking_support,Seek guidance or validation. You're not alone.
generate coping tip: emotion=depression | intent=seeking_support,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=reflecting,Use this moment to reflect gently on your journey.
generate coping tip: emotion=stress | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=reflecting,Awareness is step one. Now breathe and prioritize.
generate coping tip: emotion=neutral | intent=reflecting,Use this moment to reflect gently on your journey.
generate coping tip: emotion=anxiety | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=asking_question,Healing starts with curiosity. Let it flow slowly.
generate coping tip: emotion=anxiety | intent=venting,Focus on one thing you can control right now.
generate coping tip: emotion=stress | intent=reflecting,Awareness is step one. Now breathe and prioritize.
generate coping tip: emotion=stress | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=sharing_update,A good day is still a step forward.
generate coping tip: emotion=depression | intent=asking_question,Healing starts with curiosity. Let it flow slowly.
generate coping tip: emotion=stress | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=seeking_support,Use grounding techniques and seek a comforting voice.
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=reflecting,Use reflection to uncover pressure points. Rest after.
generate coping tip: emotion=neutral | intent=reflecting,Journal now—neutrality can be insightful.
generate coping tip: emotion=stress | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=venting,Let your emotions out without judgment.
generate coping tip: emotion=neutral | intent=reflecting,Use this moment to reflect gently on your journey.
generate coping tip: emotion=neutral | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=seeking_support,Reach out and let someone know how you’re feeling.
generate coping tip: emotion=anxiety | intent=venting,"Vent safely, then shift to something calming like music."
generate coping tip: emotion=neutral | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=venting,You’re allowed to feel this. Try writing or drawing it out.
generate coping tip: emotion=neutral | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=sharing_update,"Even on neutral days, your healing is happening."
generate coping tip: emotion=anxiety | intent=seeking_support,Being heard helps. Call or text a friend.
generate coping tip: emotion=depression | intent=asking_question,"Seek information, but pace yourself gently."
generate coping tip: emotion=depression | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=asking_question,Answer one thing at a time.
generate coping tip: emotion=depression | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=seeking_support,Share your stress—collaboration relieves pressure.
generate coping tip: emotion=depression | intent=sharing_update,A good day is still a step forward.
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=venting,Write down your worries to clear your mind.
generate coping tip: emotion=neutral | intent=sharing_update,Today was okay—and that’s great.
generate coping tip: emotion=stress | intent=reflecting,"Identify what’s overwhelming you, then break it down."
generate coping tip: emotion=depression | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=asking_question,"Seek information, but pace yourself gently."
generate coping tip: emotion=anxiety | intent=venting,Let out the frustration and take a moment to breathe deeply.
generate coping tip: emotion=depression | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=asking_question,Healing starts with curiosity. Let it flow slowly.
